,text,A005,A008,A012,A009,A003,A002,A007,A004,A010,A001
3845,"Was für eine Frechheit!
Ich bin seit über 10 Jahren Behinderternbetreuer. Nach so einem Artikel will ich noch mehr alles hinschmeißen als zuvor. Man wird nicht nur diskriminiert indem man (BEIDE GESCHLECHTER) unglaublich mies bezahlt bekommt, nein Mann wird auch noch marginalisiert weil ja sowie so nur Frauen den Bereich schmeißen, Männer in unserem Bereich gibts gar nicht?  
Das ist mir, {USER}, {USER}, {USER}, {USER}, {USER}; die Liste an Kollegen ist unendlich... gegenüber unfair und gemein. Du sitzt da in deinem Homeoffice Glashaus und schmeißt mit Steinen. Sexistin. Schäm dich und geh hackln, so wie ich!",0,-1,0,0,-1,0,-1,-1,2,-1
3846,"Jetzt sollten sie aber schon erklären, warum sie die Ärztin Rendi Wagner hier diffamieren. Was könnte man Kern vorwerfen? Dass er ein eigenes Unternehmen betreibt nachdem er sich aus der Politik verabschiedet hat (das im Unterschied zu so manch anderen Firmen nicht von Parteien oder vom Staat abhängig ist).
Gusenbauer ist dem Ruf des Geldes gefolgt.Ganz Ideologiefrei und bei Rudas weiß ich nicht was los ist.Vermutlich hat sie einfach den Hut draufgehaut und sich gedacht dass auch ihr das Hemd näher ist als der Rock.",0,-1,1,0,-1,0,-1,-1,0,-1
3847,"Natürlich selektieren vor allem sehr junge und hübsche Frauen auch aufs Aussehen, wieso sollten sie nicht? Doch sooo wählerisch und nur aufs Optische aus sind Frauen keineswegs, da muss schon mehr passen, sogar, um überhaupt geil zu werden. 

Ich will hier eh kein Loblied aufs Fettsein singen, wäre froh, wenn es leichter ginge, einige Kilo wegzukriegen! :-)",1,-1,3,0,-1,0,-1,-1,3,-1
3848,"""Es kann nirgendwo einfach stehen gelassen werden, dass Frauen Probleme haben.""
Doch, natürlich.
Man sollte dabei aber nicht ein falsches Bild kreieren, indem man verschweigt, dass die andere Hälfte der Gesellschaft ebenfalls Probleme hat, die im Gegensatz dazu nicht ausschliesslich auf Freiwilligkeit beruhen.

Frauen leisten einen großen gesellschaftlichen Beitrag, Männer ebenso.
Es leisten also sowohl Männer als Frauen einen gesellschaftlichen Beitrag.

Die einzige Ungerechtigkeit besteht darin, dass Männer zum Teil dazu gezwungen werden, Frauen aber nicht.",2,-1,2,1,-1,0,-1,-1,2,-1
3849,"Sehr wahrscheinlich haben die Frauen, die in diesen Bereichen arbeiten, nur auf einen Mann gewartet, der ihnen das endlich mal richtig erklärt.",3,-1,2,1,-1,2,-1,-1,3,-1
3850,"Mehr als Frauen. Aber sicher nicht ""jeder"" und ""selbstverständlich"".

Andererseits, was so manche 13-jährige von sich geben... aber das legt sich mit dem Alter wieder.",0,-1,1,0,-1,0,-1,-1,0,-1
3851,"ich bin mir fast sicher, dass frau glocks  aussagekräftigen, kompetenten und fachlichen beiträge nun im aufsichtsrad sehr fehlen werden 

da haben sie sich selber ins knie geschossen 



:-)",0,-1,0,1,-1,0,-1,-1,0,-1
3852,"Ich arbeite gern mit Männern zusammen, weil die Burschen in meinem Job einfach besser sind. Hat aber auch mit Netzwerken zu tun.",3,-1,2,0,-1,1,-1,-1,2,-1
3853,nö das ist doch unser Kickel-Mädi wie es lebt und lebt.,2,-1,2,2,-1,1,-1,-1,3,-1
3854,"Dann werden sich nicht mehr Männer vasektomie antun. Die meisten Männer sind pragmatisch, Kinder nur wenn sie daseiste Geld für sich behalten können. Ich habe nur Männer bis jetzt gekannt die alles durchrechnen. für sich selber viel , also am besten Eigenheim allein da dann die Frau nach der Ehe nicht so viel abbekommt. Und wenn Ehefrau oder Lebenspartnerin, soll sie eigenes Geld haben oder Hausfrau aber soll bescheiden sein. Bliss nicht zu viel Geld für Kleider ausgeben oder für das Kind teure Ausflüge. Da müssten die Männer auch anders erzogen werden dass sie sich mehr einbringen, auch von der Betreuung her. Und sich Frauen auswählen die auch wie sie Geld verdienen und nicht eine Arme da diese den Mund hält. Rächt sich später!",2,-1,2,1,-1,0,-1,-1,1,-1
3855,"Alle Männer sollen auch mitstreiken, das ist nur solidarisch. 

Oder anders: Glücklicherweise sind die Meisten Frauen nicht so dumm zu denken, dass eine (ca) Hälfte der Bevölkerung ohne die andere funktionieren würde.",0,-1,0,0,-1,0,-1,-1,0,-1
3856,nachweislich und sinnlos werden frauen in einer htl sicher nicht gefördert...,0,-1,0,0,-1,0,-1,-1,0,-1
3857,"sie
ist eine sehr erfolgreiche frau.

ihren mann halte ich, was sie betrifft, für einen trottel.",0,-1,0,0,-1,0,-1,-1,0,-1
3858,"Ich wurde von exakt zwei Frauen
ausgelacht, als Mann nicht ernst genommen - und entsprechend mit mir gespielt - weil ich ihnen auf ihre von sehr sehr guten und glaubwürdigen Provokationen bis Schlägen reichenden Gewalttaten nicht ""entsprechend"" gekontert hatte.

Beide haben (nachträglich, nachdem sich die Situationen wieder gelegt hatten)in fast identem Wortlaut zugegeben, dass sie mich schlicht und einfach nur dazu bringen wollten, sie ""auf entsprechende Weise in die Schranken zu weisen"".

Gerade die selber aktiv Gewalttätige von den Beiden hat sich zum Beispiel mehrfach währenddessen und nachträglich bei jeder sich bietender Gelegenheit darüber beklagt, wie die sich bei mir in solchen Momenten einstellende Kühle/Distanziertheit/Nüchternheit/Klarheit/Gefasstheit ...",0,-1,1,0,-1,0,-1,-1,2,-1
3859,"Geh bitte, lesen'S nochmal, was ich geschrieben hab und zwar den gesamten Text. Entweder stellen Sie sich blöd, oder Sie wollen nur dämlich trollen.",0,-1,0,0,-1,0,-1,-1,0,-1
3860,"Was man sich als Teilzeitarbeitende Frau von den Männern hier anhören muss, ist aber auch nicht ohne. 
Davon, was man sich als Frau anhören muss, wenn frau bei einer Trennung das Kind beim Vater lässt, weil auch frau ganztags arbeiten muss und will, red ich da noch gar nicht.",0,-1,0,0,-1,0,-1,-1,0,-1
3861,"Ja, aber irgendwie auch beeindruckend, finde ich. Kaum sind Kameras da, stellt die sich in Pose. Dabei war sie mWn bisher gar nicht als Model tätig.",0,-1,0,1,-1,0,-1,-1,1,-1
3862,"Für die Anrechnung wird ein fiktives Gehalt von 1.800 € NETTO herangezogen und das für bis zu VIER Jahre pro Kind. Soviel verdient keine Teilzeitkassiererin in Ö.

Wenn beide 30h anstatt einer nur 20h + einer 40h arbeiten ist der Verdienstentgang genau gleich hoch, dafür landet keiner von beiden in Altersarmut.

Ja, die hat dann im Handel gearbeitet, weil man in der Pflege Schichtdienst hat und der Vater sich vor der Betreuung ziert, aber ganz sicher nicht, weil Mütter keinen Job in der Pflege bekommen.

BTW: Während der Elternteilzeit genießt man Kündigungsschutz. Ihr „alle Mütter sind langzeitarbeitslos“ ist also ein G‘schichtl!",0,-1,2,0,-1,1,-1,-1,0,-1
3863,"es gibt Männer die stehen zu ihrem Kind trotz Scheidung, und es gibt Männer denen sind die Kinder schon in der Beziehung egal. Meist kann man das schon vorher erkennen, aber letztere sehen oft besser aus und das gefällt halt vielen",1,-1,2,0,-1,0,-1,-1,0,-1
3864,"Wo ""argumentiert"" sie mit irgendwem?

""Eine Lehrveranstaltung an der Uni Wien hat sich mit diesem Ungleichgewicht zwischen den Geschlechtern beschäftigt""
War ja scheinbar sehr erfolgreich, oder wars wie immer nicht ein Treffen mit heißer Luft?

"" Wenn es darum geht, Frauen Anerkennung zu geben, kommt sehr schnell immer der Vorwand, sie hätten diese Anerkennung nicht verdient, weil sie ja ""nichts"" getan hätten.""
Gääähn, ich glaube es wurde hier im Forum schon viel zu oft erwähnt, dass die strenge Kuration nicht nur Frauen betrifft...",2,-1,1,1,-1,0,-1,-1,1,-1
3865,"Klar, es ist möglich völlig aus dem Nichts in Schwierigkeiten zu landen, ohne jegliche Schuld (blöde Begriff in den Zusammenhang,b aber man weiß es gemeint ist)..
Und doch sollte man annehmen, dass Familienplanung und etwas Eigenverantwortung hinsichtlich dessen, mit wem man/frau ein Kind bekommt und in welcher Situation, im Jahr 2020 zumutbar sind. 

Ich muss mich nicht weit aus dem Fenster lehnen um zu mutmaßen, dass hier wirklich elementare Selbstverantwortung nicht geklappt hat. Was jetzt nicht heißt, dass keine Hilfe kommen soll. Wenn der Standard eine Möglichkeit bietet, würde ich wohl selbst ein bisschen was locker machen.

Aber Mitleid... Da tue ich mir als jemand, der mit seiner Partnerin hart dafür arbeitet, die Bedingungen für eine Familie zu schaffen, hart. Sorry, wenn ich das so brutal sage.",0,-1,0,0,-1,0,-1,-1,0,-1
3866,"Nein.
“Never argue with an idiot. They will drag you down to their level and beat you with experience.” 
  -Mark Twain-",0,-1,0,0,-1,0,-1,-1,0,-1
3867,"Oder man ruft sich in Erinnerung, dass Ö ein Land ist, wo Politiker Frauen öffentlich als widerwärtige Luder (Geisler) bezeichnen und die das nicht nur tun, sondern das auch ohne Konsequenzen bleibt, oder über ihre Phantasien Frauen Ohrfeigen zu wollen (Khol - ehemaliger Nationalratspräsident  - darf man sich zusätzlich nochmal auf der Zunge zergehen lassen) fröhlich im TV plaudern und das nicht nur tun, sondern es ohne Konsequenzen bleibt.",0,-1,0,0,-1,0,-1,-1,0,-1
3868,"{URL}

Sie jetzt aber schon 21, denke ich.",0,-1,0,0,-1,0,-1,-1,0,-1
3869,"Nicht nur in konservativen Frauenkreisen
Der Unterschied ist nur,  dass die nicht konservativen Frauenkreise den Staat um Untersrützung rufen und das nicht einem individuellen Mann aufbürden wollen.",0,-1,0,0,-1,0,-1,-1,2,-1
3870,". Naja, man muss sich nur anschauen, wie er mit seinen Bandmitgliedern umgegangen
Details?",0,-1,0,0,-1,0,-1,-1,0,-1
3871,"Bleiben beide zusammen, ist es kein Thema.
Wenn Mann und Frau aber geschieden sind, bekommt er weniger und sie mehr. Wenn er sehr gut verdient hat, kommen beide gut weg, wenn aber nicht, schaut es für beide nicht so supi aus...

Und wenn es mehrere PartnerInnen gibt, schaut es noch schlechter aus.",0,-1,0,0,-1,0,-1,-1,2,-1
3872,"Steht ohnehin schon oben - Frauen.
Die meisten Männer sind alleine lebensunfähig. Zeigt sich ja auch bei der Suizidrate: Männer, die sich umbringen, sind meist alleinstehend.",2,-1,3,0,-1,0,-1,-1,0,-1
3873,"Nun...

""Namen nannte die Schauspielerin damals nicht. Anders heute: ""Der Name meines Peinigers ist Brian Warner, der Welt auch bekannt als Marilyn Manson"", schrieb Wood auf Instagram.""",0,-1,0,0,-1,0,-1,-1,0,-1
3874,"echt jetzt - erst mal wissen wollen, um was es überhaupt geht, bevor man - wie sie oder die {USER} - ein posting in die runde kotzt, das kritisieren sie?",0,-1,0,0,-1,0,-1,-1,0,-1
3875,"Auch peinlich für K. 
Da plaudert sie angeblich 35 Min über Gott und die Welt und dann war alles für den Arsch.",0,-1,0,0,-1,0,-1,-1,0,-1
3876,Die grünen Frauen sind um Längen besser als die türkisen Quotendamen!,2,-1,3,1,-1,0,-1,-1,2,-1
3877,"Ich hab sogar gewartet, um fortsetzen zu können...
...

Die Vorwürfe gegen Manson können durchaus stimmen, wie gesagt, darüber sollen Gerichte entscheiden.

Man sollte Wood aber nicht als naive 18jährige hinstellen; da empfiehlt es sich, ihre Biographien in der Wikipedia (dt. und engl.) zu lesen. Da sie sogar ausgebildete Taekwondo-Kämpferin ist, sollte man annehmen, daß sie imstande war, sich zu wehren. Es sind allerdings, das muß eingeräumt werden, zwischenmenschliche Beziehungen in vielerlei Hinsicht kompliziert, schwer zu erklären und schwer nachzuvollziehen...

Drum kann ich nur wiederholen: Es möge das unter Anhörung beider Parteien aufgearbeitet werden... 

...",2,-1,2,0,-1,0,-1,-1,0,-1
3878,"Nun, egal was ich hier schreiben wollte oder könnte, die Autorin hat offensichtlich ein Selbstbewusstsein, dass egal alles Ihrer Selbstbestätigung dienen würde.
Aber derstandard hätte Sie vielleicht schützenswerterweise hier nicht so publizieren müssen;
 wer mehr über sie wissen will
(u.a. auch wo sie Kindergarten und Schule besuchte, auf welchen sozialen Plattformen sie ""etwa das Tagesgeschehen mit einer feministischen Brille"" kommentiert etc. findet hier Näheres
{URL}

Den Witz über d. d. stottert und diskriminierenderweise als Radiosprecher/in abgelehnt wird, spar ich mir. (Im letzteren Fall dann wahrscheinlich des Geschlechtes wegen.)",0,-1,1,0,-1,2,-1,-1,1,-1
3879,"Der Mann ist Schuld, wer den sonst... es heißt ja auch schwarzer Peter, nicht Petra
Bin männlich und kann aus meinem Umkreis (mich eingschlossen) sagen, dass Brüste kein primäres Kriterium sind.
Logischerweise gehts bei einem ONS hauptsächlich ums äußere. Das trifft dann allerdings auch meist auf die Frau zu. Und selbst da geht primär ums ""Gesamtpaket"".

Sobald es Richtung Beziehung geht, ""soll"" die Frau halbwegs normal ausschauen und ihren Körper als solchen akzeptieren. Also keinen Zentimeter Make-up im Gesicht, keine künstlichen Fingernägel oder aufgeblasene Lippen. Ob da die Dame des Herzens jetzt große oder kleine Brüste hat, fällt nicht ins Gewicht. Da ist die Person, deren Interessen, etc, viel wichtiger.

Hier wieder mal den Männern (großteils) die Schuld zu geben ist, nun ja, typisch Frau/""Feministen"".",1,-1,3,1,-1,0,-1,-1,2,-1
3880,"Ich hab im Kindergarten auch Flöte gelernt, ich fordere einen Wikiartikel über mich!",0,-1,0,0,-1,0,-1,-1,0,-1
3881,"aha, was für einen prozentsatz hat so ein weiblicher kassier mit mehrfachbelastung im gegensatz zum männlichen kassier mit mehrfachbelastung?
ich vermute zu wissen, was sie sagen wollten. nur haben sie das nicht gesagt und vor allem passt das hier nicht als antwort.",0,-1,0,0,-1,0,-1,-1,0,-1
3882,Nichte des ehemaligen SPÖ-Bundesgeschäftsführers Andreas Rudas...,0,-1,0,0,-1,0,-1,-1,0,-1
3883,"1. Frauen als Schlagwort zu nehmen, wenn nur über Frauen mit Kindern gesprochen wird, ist inkorrekt und irreführend, da kinderlose Frauen meiner Generation (~50a) - v.a. im akademischen Umfeld - bei bevorzugter Behandlung (viele Stellenausschreibungen lauteten: bei gleicher Qualifikation wird eine Frau bevorzugt) mindestens gleichviel verdienen wie ein Mann in dieser Position, aber eher um 1-2 Vorrückungsstufen mehr, da sie ja bevorzugt eingestellt wurden, zumindest in allen öffentlichen Bereichen und damit assoziierten Organisationen und Firmen.
2. In meinem Umfeld haben sich mehr Frauen als Männer für Teilzeitarbeit entschieden, aber vielfach auch ohne Kinder- oder Betreuungsdruck, sondern nur aus subjektiven Lebensqualitätsgründen.",2,-1,0,0,-1,0,-1,-1,1,-1
3884,"Ist ja das einzige, wo diese Frau Talent beweist. Besser ein paar Jahre einen alten Mann streicheln und ein Milliardenerbe entgegennehmen, als als Krankenschwester lebenslang  sterbenden die Windeln wechseln zu einem Durchschnittslohn.",3,-1,2,2,-1,0,-1,-1,3,-1
3885,"Jede Ex-Beziehung kann dich als Mann völlig zerstören
denn im Nachhinein war man meistens ""der Falsche"", oft auch ""ein Arschloch"" und natürlich hat man die Frau nur bekommen, weil man Sie ""manipuliert"" und ""unterdrückt"" hat.

Allein die Aussage reicht, um den Mann völlig zu zerstören. Eine Verurteilung ist gar nicht mehr nötig.",2,-1,2,0,-1,0,-1,-1,3,-1
3886,"Richtig und meist schüchtern diese Männer ihre Partnerinnen so ein, dass sie nicht flüchten können bzw. sich nicht trauen. Wer es nicht selbst erlebt hat, kann sich das schwer vorstellen.",0,-1,0,0,-1,0,-1,-1,0,-1
3887,"Letztlich interessiert sich der DurchschnittsMann mehr für Brüste & Co als dafür was die Besitzerin alldessen alles zu sagen hätte ;-)
Ich stehe auf kluge Frauen. 
Nichts ist unerotischer als dumme Frauen. 
(Ok. Wenn die Frau nicht zu lang in meiner Wohnung bleibt, gehe ich da schon mal einen Kompromiss ein.)

Aber was ich am liebsten mag:
Frauen die schön und klug sind. 
Und schöne Brüste haben .",3,-1,3,1,-1,1,-1,-1,3,-1
3888,35 minuten barbara karlich im podcast ... der war wirklich gut,0,-1,0,0,-1,0,-1,-1,0,-1
3889,"um auf ihre konkrete Frage zu antworten
- bei der Verhütung
- bei der Partnerwahl
- bei der Bildung die man nutzt",0,-1,0,0,-1,0,-1,-1,0,-1
3890,"Ich schlaf immer wie ein gsundes Baby, und ich hab erst grad angefangen mich mit der Dame zu befassen
je früher sie wieder zu global 2000 oder ... geht desto besser für alle, 

Shitstorms sollte man nicht unterschätzen.

Und gegen mich kann man nicht shitstomen, bin ja nur ein kleiner Bürger ohne öffentliche Avancen.
Und bashings und shitstorms anzuzetteln ist nicht strafbar.",0,-1,0,0,-1,0,-1,-1,0,-1
3891,"Auch Sie verdrängen die Elli.
Dabei müssen wir Sie bereits zum2. Mal ertragen.",0,-1,0,1,-1,0,-1,-1,0,-1
3892,Das wäre natürlich vernünftig - aber vermutlich ist halt die PR wichtig.,0,-1,0,0,-1,0,-1,-1,0,-1
3893,"das triffts gar nicht so schlecht.
Die andere Seite wird halt gerne ausgeblendet.
Gibts zuhauf Videos Online von Frauen die ihr leben jetzt als Mann leben und draufkommen wie viele Dinge schwieriger und härter als Mann sind, was man als Frau aber nie wahrnimmt oder wahrnehmen möchte.
Aber mit dem ständigen Opferkomplex moderner Feministen geht das halt nicht so ganz einher.
Aber die hypersexuelle und grausliche Kommunikation die Frauen Online entgegen weht um die bin ich ehrlich gesagt genau nix neidig.
Können wir ned einfach alle bissi leiwander sein online? (Offline hoffentlich sowieso)",2,-1,1,3,-1,0,-1,-1,2,-1
3894,"Nein, hübsche Gamerinnen kannst du gendern aber ""schirch"" können nur Männer sein?
Und abgsehen davon sollte es jedem sch***egal sein ob derjenige schön ist oder nicht beim gamen.",0,-1,0,0,-1,0,-1,-1,0,-1
3895,"also physisch muss ich keine frau werden um mich besser zu fühlen, ?  
danke für den optimismus.
dem steht aber die ganze geschlechts toxische umwelt entgegen
ich mein die hormon bomben im grundwasser
wär ich nicht so ein friedlicher mensch würde ich annehmen das sind kampfstoffe
aber sonst gilt für mich peter horton  ........das was du bist das will ich sein..........",0,-1,0,0,-1,0,-1,-1,0,-1
3896,"Es liegt nicht in der Verantwortung von Frauen, sich nicht vergewaltigen zu lassen. Es liegt in der Verantwortung von Männern, es nicht zu tun.
ja eh. sag das mal den ganzen Psychopathen und Narzissten und den Frauen die aus Angst und Scham nicht aus der Situation rauskommen.

wenn die aussage die ganze lehre sein soll wird sich gar nichts ändern.",0,-1,0,0,-1,0,-1,-1,0,-1
3897,"Ich weiß es nicht. Ich kenne Frauen, denen gehts gut. Auch Frauen, denen es nicht so gut geht. Ich glaube ""Die Frauen"" als homogener Block gibt es so nicht. Was ich anerkenne: Die Geburt von Kindern zerstört die Karriere von Frauen sehr oft. Kenne zwar auch eine 20 Stundenführungskraft, aber das ist extrem ausbaufähig. Ich würde viel mehr Führungskräfte in Teilzeit fördern. Lesen sie halt das bescheuerte Protokoll vom nächsten sinnlosen Meeting einen Tag später, wird keiner umkommen deswegen. Auch für Männer, denn je weniger Männer Vollzeit arbeiten, desto weniger gilt das als Ausrede für Carearbeit.",0,-1,2,0,-1,0,-1,-1,0,-1
3898,"Von wegen, in Russland gibt es noch explizite Berufsverbote für Frauen und zwar auch beim Militär. Erst dieses Jahr dürfen Frauen beispielsweise Kapitänin werden. 
Als Püppchen und sexuelle Aufheiterung hatten sie hingegen eine lange Tradition, schon in der Sowjetunion.",1,-1,1,0,-1,0,-1,-1,0,-1
3899,"""Man muss sich ja nur mal die vielen Frauen-Maganzine ansehen ...""

Hab ich nie.

Vielleicht ist das der Grund, warum ich nichtmal auf die Idee gekommen wäre, mit meinen Brüsten könnte was nicht stimmen !? *gg*",0,-1,0,0,-1,0,-1,-1,0,-1
3900,"na weswegen jammerst dann?
Genau die Aussage trifft wohl den Punkt, warum Frauen, weniger erhalten.
Stimmt genau !",0,-1,0,0,-1,0,-1,-1,0,-1
3901,"eine systematische, unterschiedliche Sichtbarkeit von Leistungen von Männern und Frauen
...kann ich nicht erkennen

schon gar nicht hier im standard

wovon also reden sie bitte?",2,-1,3,0,-1,0,-1,-1,0,-1
3902,"Da frage ich mich 3 Sachen:
1. Warum sind Frauen so erpicht auf eine spezifische Politik auf ihre Genitalien? Männer machne sowas ja auch nicht.
2. Seit wann ist Frauenpolitik eine ""sachpolitische Frage""? Die ist doch ein Parade-Bsp für Parteipolitik? Sachpolitik wären doch eher Sachen wie Verschuldung, sozial-materielle Ungleichheit, Klimawandel, Geopolitik, etc.
3. Vllt, nur vllt, sind Frauen deswegen weniger präsent, weil sie sich weniger in den Vordergrund drängen als gewisse (männl.) Selbstdarsteller? Oder auch, weil sie insgesamt weniger reißen (Unternehmer)? Oder, weil sich zB beim Sport weniger Menschen für Frauensport interessieren (fehlende Nachfrage)?",2,-1,3,2,-1,2,-1,-1,3,-1
3903,"Zensur ... geht gar nicht! Posting wurde gelöscht. Freie Meinung? HALLO?!?

Ich versuche es anders ...
Ich möchte endlich mal auch von Männern lesen, denen es schlecht geht.",0,-1,0,0,-1,0,-1,-1,0,-1
3904,"Geh bitte, ersparen sie mir ihr ihre Postings - mag sein, dass sie nichts zu tun haben sonst, ich aber leider schon
Ich lese mir den Schmarren den sie verzapfen nicht mehr durch
Alles gute
LG",0,-1,0,0,-1,0,-1,-1,0,-1
3905,Ebenfalls keine Hilfe bei irgendwas: Männer,3,-1,2,0,-1,0,-1,-1,0,-1
3906,"natürlich ist das ein riesen Unterschied und ich will nicht tauschen.
Finde ihren Kommentar trotzdem unpassend, wenn sie offensichtlich selbst keine Erfahrung mit (teil)-allein-Erziehung haben. 
deshalb hier eod für mich.

PS: Mi bis Sa, damit sie beruhigt sind",0,-1,0,0,-1,0,-1,-1,0,-1
3907,"Nähmlich eine armselige Frau
Mir kommt vor, das US-Schauspielerinnen nicht ganz normal ticken. Gibt es von denen normale auch?",3,-1,1,1,-1,1,-1,-1,2,-1
3908,"Ich wette, wenn du einem wilden Raubtier gegenüber stehst, denkst du dir auch: „Also, einfach langsam sich zu entfernen wäre viel zu leicht. Man muss die Komplexität unserer Beziehung bedenken. Will das Tier mich überhaupt fressen? Was sind seine Beweggründe? Langsam zurückziehen ist keine Lösung. Ich muss einen Weg finden, dem Tier die Komplexität des Lebens zu erklären.“

Merkst du, wie dumm du dich anhörst? Wenn ich in einer Beziehung GESCHLAGEN werde und die finanziellen Mittel habe, mich davon zu lösen, DANN MACHE ICH DAS!! Von was für einer schei* Komplexität quasselst du da?! Das mag ja für eine Frau in einem Armenviertel gelten, die sich nicht mal eben so aus ihrem Umfeld lösen kann, aber doch nicht für JOHNNY F*CKING DEPP",3,-1,4,1,-1,0,-1,-1,0,-1
3909,"Mit 33? Naja, möglich",0,-1,0,0,-1,0,-1,-1,0,-1
3910,"**mit einem machen. Man denkt dann die eigenen Gefühle wären falsch, man sei dumm oder zu streng mit dem Partner usw. es ist wirklich schlimm, deshalb bitte ich um etwas Nachsicht von Ihnen für Menschen die sowas erleben mussten/müssen.
Narzisten sind übel. War selber 10 Jahre mit einem liiert. Wollte schon nach 2 Jahren gehen, aber er manipulierte much derartig und setzte mir psychisch so derartig zu dass ich es lang nicht schaffte. Er redete mir ein, ich würde ihn nicht genug lieben und er täte doch alles für mich (nebenbei sagt er sobald ich den Mund öffnete „blabla“, lachte micv aus, stellte mich in der Öffentlichkeit bloß usw usw. er gan mir ständig das Gefühl dass ich ihn doch jzt nicht verlassen könne, jzt wo es ihm endlich besser geht und er ernsthaft an sich „arbeitete“).  Ich kann mich heute auch nicht mehr verstehen und auch warum ich nicht einfach gegangen bin. Dreimal war ich schon zur Tür raus, 3x wickelte er mich wdr ein. Ist schwer zu beschreiben was die **",0,-1,0,0,-1,0,-1,-1,0,-1
3911,Mimimi....,0,-1,0,0,-1,0,-1,-1,0,-1
3912,"Und die Teilzeitjobs, selbst wenn er nicht mehr notwendig wäre.
Oder wie es Kolleginnen mit erwachseben Kindern sagen: ""Lebensqualität"".
Ist völlig ok, dann aber auch vorm jammern dran denken, dass man auch weniger einbezahlt hat.",2,-1,2,1,-1,0,-1,-1,1,-1
3913,"Gratulation und schön, dass wenigstens dieses Kind nicht in Schlamm und Kälte im Zelt den Winter überstehen muss. Wie es ihre Partei so gerne hat.",0,-1,0,0,-1,0,-1,-1,0,-1
3914,"Der Körper des Mannes
...war schon immer sehr interessant für Frauen. Bereits lange vor der Erfindung der Fotografie. Ungefähr seit 1Mio Jahre.
Gilt natürlich auch im Verhältnis Männer zu Frauen, die kulturell-genetisch bedingt sogar noch mehr optisch orientiert sind.
Sexismus, also die überaus starke geschlechtliche Orientierung am jeweils anderen Geschlecht, ist jedem höheren Wesen angeboren und nichts, dessen man sich schämen müsste.",2,-1,2,0,-1,0,-1,-1,2,-1
3915,"Ja ok die Zeiten ändern sich, aber das muss man auch bidirektional sehen, und als Wellenbewegung.
Dh. ich möchte einen Unterschied machen zwischen wirklich leidvollen Erfahrungen, die mit Übertreibungen des Zeitgeistes und fehlender Empathie zu tun haben, und einfach enorm veränderten Geschmäckern, die sich voll an etwas ekeln, das einmal ohne jedes Leiden im Bereich der Normalität lag, zb auch der reine Altersunterschied bei vielen Paaren. Das allein hatte keine fixe Beurteilung, sondern Vor- und Nachteile, und auch das Gefälle konnte konstruktiv oder destruktiv verarbeitet oder genutzt werden.
""Hypergamy"", nicht wahr? Heute absolut ein Thema.
Viele blöde Texte gehen natürlich nimmer, aber was is mit Capital Bra, oops...",0,-1,0,0,-1,0,-1,-1,0,-1
3916,Scheint eine unglückliche Person zu sein die {USER}.,0,-1,0,1,-1,0,-1,-1,0,-1
3917,Echt jetzt?!,0,-1,0,0,-1,0,-1,-1,0,-1
3918,"Für die Karlich gibt's ein Casting, IQ  wird nicht gemessen.",0,-1,2,1,-1,2,-1,-1,3,-1
3919,"Sachpolitik.ist für alle Geschlechter gleich wichtig.
Das nicht als Frauenthema zu werten weil es eben nicht explizit um Frauen geht ist wiederum ein wenig Klischeebehaftet. Ist Politik etwa nur für Männer wichtig?

Das und die Ergebnisse des Ibiza Ausschusses für Frauen irrelevant?

Ich denke das sollte uns alle interessierten.",0,-1,0,0,-1,0,-1,-1,0,-1
3920,Prostitution =/= Menschenhandel,0,-1,0,0,-1,0,-1,-1,0,-1
3921,"Was hat Corona hier zu suchen?

Datenfälschung halten Sie für eine Schieflage? Die Neiddebatte zu fördern, Frauen weiter gegen Männer auszuspielen, das sind Schieflagen?",2,-1,0,0,-1,0,-1,-1,0,-1
3922,"NUR Frauen haben eine Lobby. Politisch, medial, usw. Alleine die einseitigen Texte am Frauenportal DieStandard beweisen das.
Männer sind stark benachteiligt, denn die haben keine Lobby.",2,-1,2,1,-1,2,-1,-1,3,-1
3923,"Erklären Sie das mal der Autorin - vor lauter Geifer wird sie damit wohl
überfordet sein",2,-1,0,0,-1,1,-1,-1,0,-1
3924,"Mittlerweile kann sie den Fall vor Gericht bringen, weil ihr ""Phoenix Act"" angenommen wurde. Genau darum ging es ihr ja die ganze Zeit, ihren Fall vor Gericht zu bringen. Sie sagt ja auch, dass sie Beweise gegen ihn hat. Natürlich ist richtig, dass der Beschuldigte bis zum Beweis seiner Schuld als unschuldig gilt. Ich glaube nicht, dass sich Fr. Wood ""die ganze Arbeit"" angetan hätte, wenn nicht etwas dahinter steckt. Auf den Prozess darf man gespannt sein.",0,-1,0,0,-1,0,-1,-1,0,-1
3925,"Ich glaube es werden hier zwei verschiedene Bedeutungen des Wortes ""schwer"" vermischt. Es kann u.a. anstrengend bedeuten oder eben (geistig) anspruchsvoll.",0,-1,0,0,-1,0,-1,-1,0,-1
3926,"Sehr cool. Wenn man seinen opa heriatet, is eh schu alles klat",1,-1,0,0,-1,0,-1,-1,2,-1
3927,"Dass Marilyn Manson eine herrschsüchtige Diva ist, dürfte wohl kaum jemanden überraschen. Seine halbe Band hat er ja schon hinausgeschmissen aufgrund fragwürdiger Gründe.
Das mit der sexuellen Gewalt ist allerdings nach Jahren schwer zu beweisen.",0,-1,0,0,-1,0,-1,-1,0,-1
